baseMean log2FoldChange lfcSE pvalue padj Description Species Contaminant xenic UniProt.KEGG.Terms UniProt.GO.Biological UniProt.GO.Cellular UniProt.GO.Molecular EggNOG.Predicted.Gene EggNOG.Description EggNOG.KEGG.Terms EggNOG.GO.Biological EggNOG.GO.Cellular EggNOG.GO.Molecular EggNOG.Protein.Domains
TR240125|c0_g1_i1 37.06898564824 -0.00115215429433416 0.0572893400282145 8.25759360836472e-09 0.00015991928425878    FALSE NA          
TR53065|c0_g1_i1 14.4729021484589 0.0102174404903813 0.0586300350846883 3.85361543160586e-08 0.00015991928425878 XP_014272889.1 cuticle protein 16.5-like [Halyomorpha halys] halyomorpha halys No FALSE NA     Inherit from euNOG: structural constituent of chitin-based cuticle    GO:0003674(L=0),GO:0005198(L=1),GO:0042302(L=2), PFAM (Chitin_bind_4), SMART (SIGNAL)
TR103927|c0_g1_i1 11.3328249855101 -0.000613133191963832 0.057277546344833 7.23102534663765e-08 0.000222573432864476    FALSE NA          
TR254095|c1_g1_i1 16.3668792533768 -0.000453388109598248 0.0572753792206967 3.92648506514984e-07 0.00121217523052467    FALSE NA          
TR214000|c0_g1_i1 5.42372936731578 0.000477040598343165 0.0572759011524374 8.95193920596614e-07 0.00282855703240862 tr|R4WHY5|R4WHY5_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1 riptortus pedestris No FALSE NA          
TR138354|c1_g1_i1 16.6921376524063 -0.00129736441490114 0.057293704722677 2.05325415097079e-06 0.00422583860200977 tr|R4WHW7|R4WHW7_RIPPE Uncharacterized protein OS=Riptortus pedestris OX=329032 PE=2 SV=1 riptortus pedestris No FALSE NA          
TR203402|c0_g1_i1 10.7879387274921 -0.00269503700177847 0.0573656817106962 3.99460622762835e-06 0.00681780023719484 XP_014275348.1 HEAT repeat-containing protein 5B isoform X3 [Halyomorpha halys] halyomorpha halys No FALSE NA     Inherit from biNOG: HEAT repeat containing  GO:0007275(L=3),GO:0007399(L=5),GO:0008150(L=0),GO:0009987(L=1),GO:0022008(L=5),GO:0030154(L=4),GO:0032501(L=1),GO:0032502(L=1),GO:0044699(L=1),GO:0044707(L=2),GO:0044763(L=2),GO:0048731(L=4),GO:0048856(L=2),GO:0048869(L=3),   SMART (COIL)
TR258824|c0_g1_i1 30.8110111723544 -0.00558101281324252 0.0576693193533345 4.04152184934778e-06 0.00681780023719484    FALSE NA          
TR283205|c1_g1_i1 36.0037061779433 0.00110034823937462 0.0572887718420857 3.22962873169483e-06 0.00681780023719484    FALSE NA          
TR108230|c1_g1_i1 5.08407722359571 0.0145058206514865 0.060000376156767 6.1935038621987e-06 0.00978485136103052    FALSE NA          
